String	Translation
He managed to pass the examination.	彼 は 試験 に 何とか{なんとか} 合格 為る{した}
Don't work too hard.	働き過ぎる{働き過ぎない} 様に{ように}
Tea is like the lubricating oil of work to allow it to proceed smoothly.	お茶 は 仕事 を スムーズ に 運ぶ{運ばせる} 為{ため} の{の} 潤滑油 の{の} 様{ような} 物{もの}
"Suddenly, a terrible storm came up."	突然 恐ろしい 嵐 が やって来る{やってきた}
"If anyone should phone, say I will be back at one o'clock."	誰か から 電話 が 有る{あったら} 一時 に 戻る と 言う{いって} 下さい
"In the first place, we must be careful about what we eat and drink."	第一 に 飲食 に 注意 為る{し} ねばならない{なければならない}
I missed the 7:00 train.	時 発 の 電車 に 乗り遅れる{乗り遅れた}
This soup wants a bit of salt.	此の{この} スープ は 塩 が 少し 足りる{足りない}
That car is a real beauty.	彼の{あの} 車 は 全く 素晴らしい{すばらしい} 物{もの} だ
Tom feels that his team will win the game.	は 自分 の チーム が 試合 に 勝つ だろう と 思う{思っている}
How are the kids?	子供たち は 元気
He is no good as a doctor.	彼 は 医者 として 無能 だ
I will do anything but this.	此れ{これ} 以外 の 事{こと} なら 何でも 為る{する}
Let's hash it all out.	とことん 話し合う{話し合って} 分かる{わかりあおう} よ
He went into teaching.	彼 は 教職 に 就く{就いた}
Take a look at this map.	一寸{ちょっと} 此の{この} 地図 を 見る{見} なさい
People used to think that only humans could use language.	人々 は 人間 しか 言語 を 使える{使えない} と 以前 は 考える{考えていた}
"Though she is rich, she is not happy."	金持ち に 関らず{かかわらず} 彼女 は 幸せ である{でない}
They are pleased with your work.	彼ら{彼等} は 仕事 に 満足 為る{している}
The frequency of crime in the town is high.	此の{この} 町 に於ける{における} 犯罪 の 発生率 は 高い
The admission is ten dollars a person.	一人 ドル です
The astronaut was slow to get used to the condition of weightlessness.	其の{その} 宇宙飛行士 は 無重力 の 状態 に 中々{なかなか} 慣れる{慣れなかった}
"I said, ""Could you please turn your television down?"""	テレビ の 音 を 小さい{小さく} 為る{して} 貰う{もらえません} か って 言う{言った} のだ{んです} よ
She played an important part in the drama.	彼女 は 其の{その} ドラマ で 重要{重要な} 役 を 演じる{演じた}
What to do next is the question.	次 に 何 を す可き{すべき} か が 問題 である
You should restore the money he lost to him.	君 は 彼 に 彼 が 無くす{なくした} お金 を 戻す 可き{べき} だ
Will you notify me after 3 minutes?	分 経つ{たったら} 教える{教えて} 貰う{もらえます} か
The hotel charged me 8000 yen for the room.	ホテル は 部屋代 として 私 に 円 請求 為る{した}
She continued writing in her diary until she died.	彼女 は 死ぬ 迄{まで} 日記 を 書く{書き} 続ける{つづけた}
Did you enjoy watching the night game last night?	昨夜 は ナイター を 見る{見て} 楽しむ{楽しみました} か
Mischief is common to most children.	悪戯{いたずら} は 大抵{たいていの} 子供 に 共通{共通の} 物{もの} だ
Each country has its own customs.	所 変わる{変われば} 品 変わる
Advance two steps.	歩 前 に 出る{出} なさい
Here are your boarding pass and your baggage claim.	搭乗券 と 荷物 の 引き換え証 です
He was in such a good mood when his team won the championship.	彼 は 自分 の チーム が 選手権 に 勝つ{勝って} 上機嫌 だ{だった}
Mr Smith is in charge of the class.	先生 は 其の{その} クラス の 担任 だ
It is certain that prices will go up.	物価 が 上がる の は 確か だ
You'd better consult an attorney beforehand.	事前 に 弁護士 と 相談 した方がいい よ
All but the boy were asleep.	其の{その} 少年 以外 は 皆{みんな} 眠る{眠っていた}
Making use of fire may be regarded as man's greatest invention.	火 の 利用 が 人類 の 最大 の 発明 と 考える{考えて} も 良い{よい} でしょう
"Hurry, or you'll miss the train."	急ぐ{急がない} と 列車 に 乗り遅れる{乗り遅れます} よ
"Whatever he may say, I won't change my mind."	彼 が 何と 言う{言おう} と 私 は 心変わり 為る{しません}
It is very kind of you to say so.	そう 言う{言って} 呉れる{くれて} 君 は 迚も{とても} 親切 だ
There were quite a few students absent from class today.	今日 授業 を 欠席 為る{した} 学生 は 多い{多かった}
He turned out to be a real disappointment after we went through hell and high water to find him.	鉦 や 太鼓 で 探り当てる{探しあてた} 割に は 彼奴{あいつ} 期待外れ{期待はずれ} だ{だった} よ な
Beyond the novel we come to works whose avowed aim is information.	小説 の 次 には 知識 を 与える 事{こと} を 目的 とする 作品 が 有る{ある}
We cannot meet the demands of the hijackers.	乗っ取る{乗っ取り} 犯人 の 要求 には 応じる{応じられない}
I can't check my mail. The server is down.	サーバ{サーバー} が ダウン 為る{してて} メールチェック 出来る{できない}
What a mean fellow!	何と{なんと} 卑劣{卑劣な} 奴 だ
School begins at half past eight.	授業 は 時半 に 始まる
You're always criticizing me!	君 は 何時も{いつも} 僕 を 批判 為る{している}
"Stand back, please."	どうぞ 後ろ に 下がる{下がって} 下さい{ください}
"Moreover, they underscored the need for providing policy relevant ready-to-use scientific results and methodology."	更に{さらに} 即 戦力 と 成る{なる} 政策関連{政策関連の} 科学的 成果 や 手段 の 提供 が 必要 である と 強調 為る{した}
He returned to America.	彼 は 亜米利加{アメリカ} に 戻る{戻った}
She will cope with all the work.	彼女 なら 仕事 を 全て{すべて} 上手い{上手く} 遣る{やる} だろう
She found pleasure in reading.	彼女 は 読書 に 楽しみ を 見出す{見いだした}
She did not answer all the questions.	彼女 は 必ずしも 全て{すべての} 質問 に 答える{答えた} 訳ではない{わけではない}
Little birds are singing merrily.	小さな 鳥 が 楽しげ{楽しげに} 囀る{さえずっている}
He breathed his last peacefully this morning.	彼 は 今朝 安らか に 息を引き取る{息を引き取った}
Did you see a doctor?	医者 に 見てもらう{診てもらった} の か
He tried writing a short story.	彼 は 試しに 短い 物語 を 書く{書いて} 見る{みた}
He said a few words by way of apology.	彼 は 言い訳 として 二 三 述べる{述べた}
I must remind you of your promise.	約束 為る{した} 事{こと} を 思い出す{思い出して} 下さい
Never before have we had such a strong longing for peace.	此れ{これ} 程{ほど} 迄に{までに} 平和 を 切望 為る{した} 事 は 嘗て{かつて} 無い
Don't stand by me.	僕 の 側{そば} に 立つ{立たないで} 呉れる{くれ} よ
I can only tell you what I know.	私 は 知る{知っている} 事{こと} しか 御{お} 話 出来る{できません}
She was in a silk dress.	彼女 は シルク の ドレス を 着る{着ていた}
I heard a cry for help.	助け を 呼ぶ 声 が 聞こえる{聞こえた}
Masao studies history under Prof. Ito's guidance.	は 教授 の 指導 の 下{もと} 歴史 を 研究 為る{している}
It is admitted that the hotel is the best in this area.	其の{その} ホテル は 此の{この} 辺り で は 最高 だ と の 折り紙付き{折り紙つき} です
Language is peculiar to man.	言語 は 人間 に 特有{特有の} ものである
This toy car runs on batteries.	此の{この} 玩具{おもちゃ} の 自動車 は 電池 で 動く
Where do you go to school?	学校 は プール の 水 を 月 一回 排水 為る{o 何方{K
She may have to quit her job next month.	彼女 は 来月 退職 為る{し} ねばならない{なければならない} かも知れない{かもしれません}
His speech was not altogether bad.	彼{彼の} 演説 は 満更{まんざら} 捨てる{捨てた} 物{もの} だ{ではなかった}
The weather turned fair.	天気 が 好転 為る{した}
She was required to step down in the office.	彼女 は 其の{その} 会社 を 辞任 為る{する} 様{よう} 求める{求められた}
He is named Jim after his uncle.	彼 は 叔父 の 名前 を と って と 名付ける{名づけられた}
It's natural that Yoko should say a thing like that.	が そう言う{そういう} の も 尤も{もっとも} だ
He sometimes wished to go to extremes.	彼 は 時々{ときどき} 極端{極端な} 手段 に 訴える{訴え} たい{たく} 成る{なった}
She wanted to have paid a visit to India.	彼女 は 印度{インド} に 行く{行き} たい{たかった} のだ が
"He is fresh from college, so he has no experience."	彼 は 大学を出る{大学を出た} 許り{ばかり} で 全く{まったく} 経験 が 無い{ない}
You should pay your rent in advance.	君 は 部屋代 を 前もって 払う 可き{べき} だ
I came to Liverpool by chance.	私 は 偶然{偶然に} に 来る{来た} の だ{だった}
The nun prayed and crossed herself.	尼僧 は 御{お} 祈り を 為る{して} 十字を切る{十字を切った}
There was a new candidate on the ticket at the Democratic convention.	新しい 候補者 が 民主党 の 党大会 で 公認候補 となる{となりました}
I'm a free man.	俺 は 自由{自由な} 男
She took in the washing when it started to rain.	雨 が 降り出す と 彼女 は 洗濯物 を 取り込む{取り込んだ}
"You can't understand this sentence, can you?"	此の{この} 文 の 意味 が 分かる{わからない} のだ{のです} ね
He seems to have been rich before.	彼 は 以前 金持ち だったら{だった} らしい
You don't have to talk so loud.	貴方{あなた} は そんな 大声 で 話す 必要 は 無い{ない}
The hunters aimed at the elephant.	猟師 達{たち} は 銃 で 其の{その} 象 を 狙う{ねらった}
He was standing at the top of the mountain.	彼 は 山 の 頂上 に 立つ{立っていました}
The author made ten mistakes in as many pages.	其の{その} 著者 は 頁{ページ} に 個 の 誤りを犯す{誤りをおかした}
No sooner had it stopped raining than a beautiful rainbow appeared.	雨 が 止む{止んだ} 途端に{とたんに} 奇麗{きれいな} 虹 が 出る{出た}
The roof was damaged by the storm.	屋根 は 嵐 の 被害を受ける{被害を受けました}
The scandal robbed him of a chance to become President.	其の{その} スキャンダル の 為に{ために} 彼 は 大統領 になる 機会 を 失う{失った}
Jane wore the same ribbon as her mother did.	は 彼女{彼女の} 母親 と 同じ リボン を 付ける{つけていた}
The police arrested him for theft.	警察 は 盗み で 彼 を 逮捕 為る{した}
"You need to reverse your vest, it's back to front."	ベスト を 裏返す{裏返さなくちゃ} 表裏 逆 です よ
He has great ability as an artist.	彼 は 芸術家 として 大変{たいへん} 才能 が 有る{ある}
I noticed you entering my room.	君 が 部屋 に 入る{入って} 来る{くる} のに 気付く{気づいた}
"Another war, and we all will be killed."	もう一度 戦争 が 有る{あれば} 我々 は 皆 死ぬ だろう
He was happy at the news of her success.	彼女{彼女の} 成功 を 聞く{聞いて} 彼 は 喜ぶ{喜んだ}
"Drive more slowly, or you'll get a ticket."	もっと ゆっくり 運転 為る{しない} と 違反 切符 を 貰う{もらう} 事になる{ことになる} よ
Follow me and do exactly the way I do it.	私 に 続く{続いて} 私 が 遣る{やる} の と 全く 同じよう{同じように} 遣る{やって} 下さい{ください}
I've got to earn my own living.	私 は 自分 の 生活 費 を 稼ぐ{稼が} 無くてはならない{なくてはならない}
"Asked what exactly a right was, I was at a loss to explain it."	権利 は 正確 には 何 である の か と 聞く{聞かれて} 私 は 説明 に 困る{困った}
What do you say to playing tennis with me?	私 と テニス を 為る{しません} か
Mary and I are in the same class.	と 私 は 同じ クラス だ
Could you tell me which way I should go?	何方{どちら} に 行く{いったら} 良い{いい} の か 教える{教えて} 下さる{くださいません} か
We take our high standard of living for granted.	私たち は 豊か{豊かな} 生活水準 を 当然のこと と 思う{思っています}
Technology will make a lot of progress in the nineties.	年代 に 科学技術 は 大いに{おおいに} 進歩 為る{する} だろう
He was equal to the job.	彼 は 其の{その} 仕事 を 遣る{やれる} 力量 が 有る{あった}
She sometimes has her sister write her term papers.	彼女 は 時々{ときどき} 妹 に レポート を 書く{書かせる}
I got him to polish my shoes.	私 は 彼 に 靴を磨く{靴を磨いて} 貰う{もらった}
What do you think we must do in order to maintain the peace of the world?	世界 の 平和 を 維持 為る{する} には 我々{われわれ} は 如何{どう} 為る{し} ねばならない{なければならない} と 思う{思います} か
Will you join me for a drink?	一緒に 飲む{飲みません} か
We cannot help missing you badly.	私たち は 君 が 居る{いなくて} 迚も{とても} 寂しい{寂しくて} 堪らない{たまらない}
He is a reporter for Time magazine.	彼 は NI{タイム} 誌 の 記者 です
She fled for fear of being caught.	彼女 は 捕まる{つかまる} と 行けない{いけない} ので 逃げる{逃げた}
He is two years older than Ogawa.	彼 は 小川 より 二 才{歳} 年上 です
The house stands by itself.	其の{その} 家 は 一軒 丈{だけ} ぽつり{ぽつんと} 立つ{立っています}
His lack of cooperation defeated our plan.	彼{彼の} 協力 が 無い{なかった} ので 我々 の 計画 は 駄目{だめ} になる{になった}
Her blue shoes go well with that dress.	彼女{彼女の} 青い 靴 は 衣服 に 良く{よく} 似合う{似合っている}
Her wish is to study abroad someday.	彼女{彼女の} 願い は 何時か{いつか} 外国 に 留学 為る{する} 事{こと} だ
She is very fond of standing out.	彼女 は 目立ちたがり屋 だ
I am delighted to meet you.	貴方{あなた} に 会う{お会い} 出来る{できて} 嬉しい
"Acting on your advice, I've decided to exercise more regularly."	貴方{あなた} の 忠告に従う{忠告に従い} 私 は 運動 を もっと 規則正しい{規則正しく} 為る{する} 事{こと} に 決める{決めました}
It overflows into a paper cup.	ペーパーカップ{ペーパー・カップ} の 中 へ と 溢れ出る{あふれでて} 行く{いく}
The young men of Japan are apt to jump on the bandwagon.	日本 の 若者 は 流行 に 乗る 傾向 が 有る{あります}
"Hi, George! How's it going?"	今日は{こんにちは} 如何{どう}
Please pardon me for coming late.	遅れる{遅れて} 申し訳ありません
Is this a radio?	此れ{これ} は ラジオ ですか
I'm too tired to walk any further.	疲れる{疲れていて} 此れ{これ} 以上 歩く{歩けません}
The boy persisted in wearing his hair long.	其の{その} 男の子  は 飽く迄も{あくまでも} 髪の毛 を 伸ばす 事{こと} に 拘る{こだわった}
Everyone attacked my opinion.	皆{みんな} が 僕 の 意見 を 攻撃 為る{した}
Who is responsible for this class?	此の{この} クラス の 担任 は 誰 ですか
He went to America last year to brush up his English.	彼 は 英語 に 磨きをかける 為{ため} 昨年 亜米利加{アメリカ} へ 行く{行った}
I explained to her what the matter was.	何 が 起こる{起こった} の か 彼女 に 説明 為る{した}
"I had intended to finish this yesterday, but I couldn't."	私 は 此れ{これ} を 昨日 仕上げる 積もり{つもり} だ{だった} のだ{のです} が 出来る{できなかった} のだ{のです}
"On encountering the celebrity, the fans asked for his autograph."	ファン 達 は 有名人 と 出くわす なり 彼 に サイン を 求める{求めた}
I'm opposed to any type of war.	私 は どんな 戦争 にも 反対 だ
The Balkan Mountain range runs across Bulgaria from west to east.	山脈 は ブルガリア の 中央 を 東西 に 走る 山脈
He carved marble into a statue.	彼 は 大理石 を 刻む{刻んで} 像 を 作る{作った}
This vending machine isn't working.	此の{この} 自動販売機 動く{動かない} のだ{んです} が
What do you do before breakfast?	貴方{あなた} は 朝食 の 前 に 何{なに} を 為る{します} か
She refused his offer.	彼女 は 彼{彼の} 申し出 を 拒否 為る{した}
She is very attentive to her grandmother.	彼女 は お祖母ちゃん{おばあちゃん} を 大層{たいそう} 大事 に 為る{する}
He is man who I think has never known poverty.	彼 は 貧乏 の 経験 が 無い{ない} と 私 が 思う{思っている} 男 だ
The pencil which writes well is mine.	良く{よく} 書く{書ける} 鉛筆 は 私{私の} 物{もの} です
Nothing is more delightful for me than to talk with him.	私 に取って{にとって} 彼 と 語り合う 程{ほど} 楽しい 事{こと} は 無い{ない}
I'd like to go to Hawaii.	布哇{ハワイ} に 行く{行き} たい 物{もの} です
He seized the pickpocket by the collar.	彼 は 掏摸{すり} の 襟首 を 掴む{掴んだ}
These three pretty girls are all nieces of mine.	此の{この} 三人{３人} の 美しい 少女 は 皆{みな} 私{私の} 姪 です
It wasn't very discreet of you to forget the appointment.	約束 を 忘れる とは 余り{あまり} 慎重 だ{ではなかった} です ね
Happiness lies in contentment.	幸福 とは 満足 為る{する} 事{こと} に 有る
The doctor alerted him to the riskiness of the medicine.	医者 は 彼 に 其の{その} 薬 の 危険性 を 警告 為る{した}
He never fails to do what he says.	彼 は 口に出す 事{こと} は 必ず 為る{する}
I am glad to have helped you last week.	先週 貴方{あなた} の お手伝い が 出来る{できて} 嬉しい{うれしく} 思う{思います}
He is a famous painter and should be treated as such.	彼 は 高名{高名な} 画家 だから そう言う{そういう} 物{もの} として 扱う 可き{べき} だ
You don't have to pay in cash.	現金 で 払う 必要 は 有る{ありません}
I call on him every other day.	私 は 一日 置きに{おきに} 彼 を 訪問 為る{します}
"I was very tired, but I was nevertheless unable to sleep."	私 は 疲れる{疲れていた} が それにも拘わらず{それにもかかわらず} 眠る{眠れなかった}
Some are happy; others unhappy.	幸福{幸福な} 者 も 居る{いれば} 又{また} 不幸{不幸な} 者 も 居る{いる}
"After all, it is talent that counts in music."	結局のところ 音楽 で 物 を 言う の は 才能 だ
People tend to look at others with bias.	人々 は 他人 を 偏見 で 見る{見} 勝ち{がち} だ
Dave never returned to school again.	は 二度と 学校 に 戻る{戻らなかった}
I believe whatever he says.	私 は 彼 の 言う 事 なら 何でも 信じる
"After all his efforts, he also failed this time."	色々{いろいろ} 努力 為る{した} にも関わらず{にもかかわらず} 彼 は 今回 も 失敗 為る{した}
"The prince of darkness means ""Satan""."	暗黒 の 王子 とは 悪魔 の 事{こと} です
This institution came into being after the war.	此の{この} 組織 は 戦後 生まれる{生まれた}
Gold is more precious than iron.	金 は 鉄 よりも  貴重 だ
I've got to get out of here.	そろそろ 失礼 為る{しなくて} は
No boy in the class is taller than Bill.	クラス で より 背の高い 少年 は 居る{いない}
I have known her since she was a baby.	私 は 彼女 が 赤ん坊 の 頃{ころ} から 知る{知っています}
Many a little makes a mickle.	塵{ちり} も 積もる{積もれば} 山 となる
Put it where you like.	好き{好きな} 所{とこ} へ 置く{置けよ}
This is the year 1990.	今年 は 年 です
The suitcase contained nothing but dirty clothes.	スーツケース には 汚れる{汚れた} 服 しか 入る{入ってなかった}
She came home very late.	彼女 は 迚も{とても} 遅い{遅く} 帰宅 為る{した}
The court judged him guilty.	法廷 は 彼 に 有罪 の 判決 を 下す{下した}
I don't make much of his opinion.	私 は 彼{彼の} 意見 を 余り{あまり} 重視 為る{しない}
Lucy turned on the light switch.	は 電灯 の スイッチ を 付ける{つけた}
Did you put a stamp on the envelope?	其の{その} 封筒 に 切手 を 張る{貼りました} か
Did he fail again?	彼 は 又{また} 失敗 為る{した} のだ{のです} か
Start a new paragraph here.	此処{ここ} で 改行 為る{し} なさい
It is surprising that he should not know this.	彼 が 其の{その} 事{こと} を 知る{知らない} とは 驚き だ
She is the messenger.	彼女 は 使いの者 です
The train he was on could no longer be seen.	彼 の 乗る{乗った} 列車 は 見える{見えなく} 成る{なって} 仕舞う{しまった}
"I wish I could live at a more relaxed pace, instead of having to watch the clock all the time."	のんびり とする{とした} 生活 で 時間 に 縛る{縛られない} 生き方 が 出来る{できれば} な
He was always as good as his word.	彼 は 何時も{いつも} 約束を守る{約束を守っていた}
She sang with a beautiful voice.	彼女 は 美しい 声 で 歌う{歌った}
There is no longer any room for doubt.	最早{もはや} 疑い の 余地 は 無い{ない}
They don't have an ear for music.	彼ら{彼等} には 音楽 を 聞く{聴く} 耳 が 無い{ない}
I remarked on the beauty of the landscape.	私 は 風景 の 美しい{美し} さ に就いて{について} 述べる{述べた}
He jumped across the puddle.	彼 は 水溜まり{水たまり} を 飛び越す{飛び越した}
The meaning of words can change according to their context.	言葉 の 意味 は 文脈 に因って{によって} 変わる{変わり} 得る{うる}
She gave me access to her records.	彼女 は レコード を 聞く{聞いて} 良い{いい} と 言う{言って} 呉れる{くれた}
"The dinosaurs in the film ""Jurassic Park"" were true to life."	映画 の 恐竜 は 本物 そっくり だ
Her large income enables her to go to Paris every year.	彼女 は 収入 が 沢山{たくさん} 有る{ある} ので 毎年 巴里{パリ} に 行く 事が出来る{ことが出来る}
He sent fruit and vegetables to his daughter.	彼 は 娘 に 果物 と 野菜 を 送る{送った}
Plain English is a shortcut to the goal of language learning.	プレイン イングリッシュ は 語学 習得 の 近道 です
She was excused attendance at the meeting.	彼女{彼女の} 会 へ の 出席 を 免除 為る{して} 貰う{もらった}
She must come home by 9 at latest.	彼女 は 遅くとも 九 時 には 帰宅 せねばならない
The enemy flung fresh troops into the battle.	敵 は 新 兵力 を 投入 為る{した}
She earns her living by playing the violin.	彼女 は ヴァイオリン{バイオリン} を 弾く{弾いて} 生活 費 を 稼ぐ{稼いでいる}
Shaving off your beard took ten years off you.	髭 剃る{剃ったら} 才{歳} は 若返る{若返って} 見える よ
"From the look on his face, he is in a bad mood now."	彼{彼の} 顔つき からすると 今 は 機嫌が悪い
It is hard for an empty sack to stand straight.	衣食 足りる{足りて} 礼節 を 知る
That was the most exciting concert I have ever been to.	其れ{それ} は 今まで に 行く{行った} 中 で 一番 楽しい コンサート だ{だった}
"However, we can be people of the earth."	然し{しかし} 地球人 になる 事{こと} は 可能 なのだ{なのです}
How on earth did you get into our room?	一体{いったい} どうやって 私たち の 部屋 に 入る{入って} 来る{きた} の か
God above helped us.	天 に 御座す{おわす} 神 の 御{お} 力添え が 有る{あった}
He handed down books from the shelf.	彼 は 本棚 から 本 を 取る{とり} 降ろす{おろした}
Ueno is the station after next.	上野 駅 は 次{次の} 次 です
General admission is $7 for adults.	一般 入場料 は 大人 が ドル です
This car wax gives permanent protection against heavy rain.	此の{この} カーワックス は 大雨 にも 長持ち 為る{する} 保護 となる{となります}
The man reading a book over there is my father.	向こう で 本 を 読む{読でいる} 人 は 私{わたしの} 父 です
Black smoke came out of the chimney.	煙突 から 黒い 煙 が 出る{出て} 来る{きた}
He likes to build model planes.	彼 は 模型飛行機 を 作る の が 好き だ
Please be sure to give my best regards to your father.	必ず 貴方{あなた} の お父さん に 宜しく{よろしく} 伝える{お伝え} 下さい
We can know in advance what excuse he will make.	彼 が どんな 言い訳 を 為る{する} か は 予め{あらかじめ} 分かる{分かって} 仕舞う{しまう}
